Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,發行量(萬張),相關產業
1240,茂生農經,櫃,20.4,農業科技業,Traditional,Agri-Tech,3.5,農業科技業
1258,其祥-KY,櫃,4.62,食品工業,Traditional,Food,3.68,食品
1259,安心,櫃,21.5,觀光事業,Others,Tourism,3.24,觀光
1264,德麥,櫃,73.5,食品工業,Traditional,Food,3.37,食品
1268,漢來美食,櫃,47.3,觀光事業,Others,Tourism,3.77,觀光
1336,台翰,櫃,12.6,電子零組件業,Electronic,Components,7.71,模具沖壓
1565,精華,櫃,143,生技醫療業,Biotech,Biotech,5.04,生技醫療
1569,濱川,櫃,29.5,電腦及週邊設備業,Electronic,Computers,11.6,"模具沖壓,機殼業"
1570,力肯,櫃,6.62,電機機械,Traditional,Machinery,5.15,電機機械
1580,新麥,櫃,38.2,電機機械,Traditional,Machinery,5.02,電機機械
1584,精剛,櫃,7.34,其他業,Others,Others,8.25,其他
1586,和勤,櫃,32.7,電機機械,Traditional,Machinery,8.39,電機機械
1591,駿吉-KY,櫃,5.37,電機機械,Traditional,Machinery,3.32,電機機械
1593,祺驊,櫃,18.2,生技醫療業,Biotech,Biotech,3.19,生技醫療
1595,川寶,櫃,14.2,電子零組件業,Electronic,Components,4.71,電子零組件
1599,宏佳騰,櫃,23.2,電機機械,Traditional,Machinery,7.71,電機機械
1742,台蠟,櫃,15.3,化學工業,Traditional,Chemical,7.16,化工
1752,南光,櫃,39.6,生技醫療業,Biotech,Biotech,10.1,生技醫療
1777,生泰,櫃,22.4,生技醫療業,Biotech,Biotech,3.01,生技醫療
1781,合世,櫃,12.6,生技醫療業,Biotech,Biotech,4.74,生技醫療
1784,訊聯,櫃,19.2,生技醫療業,Biotech,Biotech,4.96,生技醫療
1785,光洋科,櫃,205,其他電子業,Electronic,Others,49.8,其他電子
1788,杏昌,櫃,39.1,生技醫療業,Biotech,Biotech,3.62,生技醫療
1796,金穎生技,櫃,5.86,食品工業,Traditional,Food,2.79,食品
1799,易威,櫃,23.1,生技醫療業,Biotech,Biotech,13.9,生技醫療
1813,寶利徠,櫃,8.84,生技醫療業,Biotech,Biotech,4.66,生技醫療
1815,富喬,櫃,41.8,電子零組件業,Electronic,Components,42.3,電子零組件
2035,唐榮,櫃,133,鋼鐵工業,Traditional,Steel,35,鋼鐵
2061,風青,櫃,6.39,電器電纜,Traditional,Cable,5.87,電器電纜
2063,世鎧,櫃,14.1,鋼鐵工業,Traditional,Steel,4.5,鋼鐵
2064,晉椿,櫃,8.26,鋼鐵工業,Traditional,Steel,6.96,鋼鐵
2065,世豐,櫃,14.8,鋼鐵工業,Traditional,Steel,4.16,鋼鐵
2066,世德,櫃,18.2,電機機械,Traditional,Machinery,3.65,電機機械
2067,嘉鋼,櫃,4.3,電機機械,Traditional,Machinery,4.51,電機機械
2070,精湛,櫃,9.16,電機機械,Traditional,Machinery,3.58,電機機械
2221,大甲,櫃,9.65,其他業,Others,Others,4.23,其他
2230,泰茂,櫃,5.65,電機機械,Traditional,Machinery,3.99,電機機械
2235,謚源,櫃,15.6,電機機械,Traditional,Machinery,3.59,電機機械
2596,綠意,櫃,21.2,建材營造業,Traditional,Construction,10,建材營造
2640,大車隊,櫃,44.8,其他業,Others,Others,5.64,其他
2641,正德,櫃,11.7,航運業,Others,Shipping,15.3,航運業
2643,捷迅,櫃,14.6,航運業,Others,Shipping,3,航運業
2718,晶悅,櫃,9.03,觀光事業,Others,Tourism,4.26,觀光
2719,燦星旅,櫃,3.58,觀光事業,Others,Tourism,1.83,觀光
2724,富驛-KY,櫃,2.69,觀光事業,Others,Tourism,6.82,觀光
2726,雅茗-KY,櫃,22.3,觀光事業,Others,Tourism,3.66,觀光
2729,瓦城,櫃,52.5,觀光事業,Others,Tourism,2.33,觀光
2732,六角,櫃,47.4,觀光事業,Others,Tourism,4.07,觀光
2734,易飛網,櫃,3.18,觀光事業,Others,Tourism,3.03,觀光
2736,高野,櫃,6.37,觀光事業,Others,Tourism,4.9,觀光
2740,天蔥,櫃,2.34,觀光事業,Others,Tourism,1.3,觀光
2743,山富,櫃,4.64,觀光事業,Others,Tourism,3.2,觀光
2745,五福,櫃,4.43,觀光事業,Others,Tourism,2.93,觀光
2752,豆府,櫃,37.3,觀光事業,Others,Tourism,2.25,觀光
2754,亞洲藏壽司,櫃,36.2,觀光事業,Others,Tourism,4.5,觀光事業
2755,揚秦,櫃,10.6,觀光事業,Others,Tourism,2,觀光事業
2916,滿心,櫃,8.71,貿易百貨業,Others,Department,5.46,貿易百貨
2924,東凌-KY,櫃,6.17,貿易百貨業,Others,Department,3.28,貿易百貨
2926,誠品生活,櫃,36.7,文化創意業,Others,Culture,4.74,文化創意
2928,紅馬-KY,櫃,14,觀光事業,Others,Tourism,4.73,觀光
2937,集雅社,櫃,9.92,貿易百貨業,Others,Department,3.29,貿易百貨
3064,泰偉,櫃,6.55,文化創意業,Others,Culture,2.67,文化創意
3066,李洲,櫃,6.11,光電業,Electronic,Opto,8.31,LED發光二極體
3067,全域,櫃,7.97,其他電子業,Electronic,Others,2.9,消費性電子產品
3071,協禧,櫃,24.8,電腦及週邊設備業,Electronic,Computers,11,電腦及週邊設備
3073,天方能源,櫃,4.45,半導體業,Electronic,Semi,1.71,IC設計
3078,僑威,櫃,90.6,電子零組件業,Electronic,Components,22.7,電源供應器
3081,聯亞,櫃,213,通信網路業,Electronic,Communications,9.09,通信網路
3083,網龍,櫃,42.1,文化創意業,Others,Gaming,8.61,"軟體業,遊戲軟體業"
3085,新零售,櫃,2.37,電子商務,Electronic,E-Commerce,3.1,電子商務
3086,華義,櫃,2.78,文化創意業,Others,Gaming,1.34,"軟體業,遊戲軟體業"
3088,艾訊,櫃,41.4,電腦及週邊設備業,Electronic,Computers,8.24,監視器
3089,元炬,櫃,12.6,電子零組件業,Electronic,Components,6.01,被動元件
3093,港建,櫃,12.1,其他電子業,Electronic,Others,3.63,其他電子
3095,及成,櫃,4.6,通信網路業,Electronic,Communications,10.9,"行動電話,模具沖壓"
3105,穩懋,櫃,1179,半導體業,Electronic,Semi,42.4,半導體
3114,好德,櫃,10.8,電子零組件業,Electronic,Components,5.91,連接器
3115,寶島極,櫃,7.76,電子零組件業,Electronic,Components,4.37,印刷電路板
3118,進階,櫃,9.8,生技醫療業,Biotech,Biotech,3.25,生技醫療
3122,笙泉,櫃,4.4,半導體業,Electronic,Semi,3.83,IC設計
3128,昇銳,櫃,5.4,光電業,Electronic,Opto,4.2,消費性電子產品
3131,弘塑,櫃,104,其他電子業,Electronic,Others,2.92,其他電子
3141,晶宏,櫃,18.9,半導體業,Electronic,Semi,6.55,IC設計
3144,新揚科,櫃,25.6,電子零組件業,Electronic,Components,10.1,電子零組件
3147,大綜,櫃,9.9,資訊服務業,Electronic,Service,3.4,"軟體業,資訊服務,資訊通路"
3152,璟德,櫃,255,通信網路業,Electronic,Communications,6.9,被動元件
3162,精確,櫃,16.7,電機機械,Traditional,Machinery,12.7,電機機械
3163,波若威,櫃,47.4,通信網路業,Electronic,Communications,7.53,通信網路
3169,亞信,櫃,17.4,半導體業,Electronic,Semi,4.96,IC設計
3171,新洲,櫃,12.7,貿易百貨業,Others,Department,5.92,貿易百貨
3176,基亞,櫃,90.6,生技醫療業,Biotech,Biotech,13.9,生技醫療
3178,公準,櫃,21.8,電機機械,Traditional,Machinery,4.5,電機機械
3188,鑫龍騰,櫃,16.5,建材營造業,Traditional,Construction,12,建材營造
3191,和進,櫃,22.2,電子零組件業,Electronic,Components,5.72,電子零組件
3202,樺晟,櫃,30,電子零組件業,Electronic,Components,11.7,連接器
3205,佰研,櫃,11.5,生技醫療業,Biotech,Biotech,3.28,生技醫療
3206,志豐,櫃,15.6,電子零組件業,Electronic,Components,5.39,"行動電話,消費性電子產品"
3207,耀勝,櫃,4.4,電子零組件業,Electronic,Components,4.38,"LED發光二極體,被動元件,電源供應器"
3211,順達,櫃,115,電腦及週邊設備業,Electronic,Computers,14.7,行動電話
3213,茂訊,櫃,26.7,電腦及週邊設備業,Electronic,Computers,5.87,資訊通路
3217,優群,櫃,91.9,電子零組件業,Electronic,Components,9.01,"連接器,電腦周邊產品"
3218,大學光,櫃,202,生技醫療業,Biotech,Biotech,7.61,生技醫療
3219,倚強股份,櫃,13.8,半導體業,Electronic,Semi,3.5,半導體
3221,台嘉碩,櫃,22.8,通信網路業,Electronic,Communications,10.2,被動元件
3224,三顧,櫃,28.1,電子通路業,Electronic,Distribution,5.8,電子通路
3226,至寶電,櫃,35.3,電機機械,Traditional,Machinery,6.44,電機機械
3227,原相,櫃,235,半導體業,Electronic,Semi,14,IC設計
3228,金麗科,櫃,62.4,半導體業,Electronic,Semi,6.78,IC設計
3230,錦明,櫃,7.76,光電業,Electronic,Opto,10.8,模具沖壓
3232,昱捷,櫃,6.4,電子通路業,Electronic,Distribution,3.66,電子通路
3234,光環,櫃,28.5,通信網路業,Electronic,Communications,7.6,通信網路
3236,千如,櫃,18.4,電子零組件業,Electronic,Components,9.29,被動元件
3252,海灣,櫃,8.53,觀光事業,Others,Tourism,5.02,DRAM模組
3259,鑫創,櫃,25.6,半導體業,Electronic,Semi,6.47,IC設計
3260,威剛,櫃,120,半導體業,Electronic,Semi,22.8,"DRAM模組,Flash模組,電腦周邊產品"
3264,欣銓,櫃,151,半導體業,Electronic,Semi,49,IC封測
3265,台星科,櫃,30.7,半導體業,Electronic,Semi,13.6,IC封測
3268,海德威,櫃,5.01,半導體業,Electronic,Semi,3.34,IC設計
3272,東碩,櫃,30.4,電腦及週邊設備業,Electronic,Computers,5.23,"連接器,電腦周邊產品"
3276,宇環,櫃,6.43,電子零組件業,Electronic,Components,6.97,印刷電路板
3284,太普高,櫃,6.21,其他業,Others,Others,5.6,其他
3285,微端,櫃,9.97,其他電子業,Electronic,Others,4.41,其他電子
3287,廣寰科,櫃,11,電腦及週邊設備業,Electronic,Computers,4.4,"消費性電子產品,監視器"
3288,點晶,櫃,2.33,電子零組件業,Electronic,Components,2.27,IC設計
3289,宜特,櫃,50.8,其他電子業,Electronic,Others,9.36,IC封測
3290,東浦,櫃,13.5,電子零組件業,Electronic,Components,9.95,模具沖壓
3293,鈊象,櫃,535,文化創意業,Others,Gaming,7.05,"軟體業,遊戲軟體業"
3294,英濟,櫃,19.9,電子零組件業,Electronic,Components,13.2,模具沖壓
3297,杭特,櫃,4.46,光電業,Electronic,Opto,3.68,消費性電子產品
3303,岱稜,櫃,21.6,其他電子業,Electronic,Others,9.61,其他電子
3306,鼎天,櫃,9.01,通信網路業,Electronic,Communications,5.06,通信網路
3310,佳穎,櫃,15,電子零組件業,Electronic,Components,5.02,"連接器,模具沖壓,導線架"
3313,斐成,櫃,11.8,電子零組件業,Electronic,Components,9.88,電子零組件
3317,尼克森,櫃,23.1,半導體業,Electronic,Semi,6.13,IC設計
3322,建舜電,櫃,7.54,電子零組件業,Electronic,Components,9.67,"連接器,電腦周邊產品"
3323,加百裕,櫃,32.9,電腦及週邊設備業,Electronic,Computers,8.33,行動電話
3324,雙鴻,櫃,193,其他電子業,Electronic,Others,8.74,其他電子
3325,旭品,櫃,21.3,電腦及週邊設備業,Electronic,Computers,7.46,"電源供應器,機殼業"
3332,幸康,櫃,15.9,電子零組件業,Electronic,Components,4.81,電源供應器
3339,泰谷,櫃,2.99,光電業,Electronic,Opto,9.62,LED發光二極體
3354,律勝,櫃,8.62,電子零組件業,Electronic,Components,7.01,電子零組件
3357,臺慶科,櫃,154,電子零組件業,Electronic,Components,10.3,電子零組件
3360,尚立,櫃,9.76,電子通路業,Electronic,Distribution,6.87,數位相機
3362,先進光,櫃,36.2,光電業,Electronic,Opto,11.2,數位相機
3363,上詮,櫃,23.3,通信網路業,Electronic,Communications,9.06,通信網路
3372,典範,櫃,15.1,半導體業,Electronic,Semi,17.2,IC封測
3373,熱映,櫃,35.6,其他電子業,Electronic,Others,4.33,其他電子
3374,精材,櫃,300,半導體業,Electronic,Semi,27.1,IC封測
3379,彬台,櫃,4.07,電機機械,Traditional,Machinery,3.8,電機機械
3388,崇越電,櫃,45.8,電子零組件業,Electronic,Components,7.41,電子零組件
3390,旭軟,櫃,8.84,電子零組件業,Electronic,Components,6.75,印刷電路板
3402,漢科,櫃,19.4,其他電子業,Electronic,Others,7.3,其他電子
3426,台興,櫃,9.77,電機機械,Traditional,Machinery,2.64,電機機械
3434,哲固,櫃,3.02,光電業,Electronic,Opto,2.27,消費性電子產品
3438,類比科,櫃,21.1,半導體業,Electronic,Semi,4.72,IC設計
3441,聯一光,櫃,10.4,光電業,Electronic,Opto,4,數位相機
3444,利機,櫃,12.8,電子通路業,Electronic,Distribution,3.91,電子通路
3455,由田,櫃,30.7,光電業,Electronic,Opto,6.15,光電
3465,進泰電子,櫃,53.1,電子零組件業,Electronic,Components,3.22,電源供應器
3466,致振,櫃,7.7,通信網路業,Electronic,Communications,6.09,消費性電子產品
3479,安勤,櫃,35.7,電腦及週邊設備業,Electronic,Computers,7.02,電腦及週邊設備
3483,力致,櫃,49.3,電腦及週邊設備業,Electronic,Computers,7.05,電腦及週邊設備
3484,崧騰,櫃,23.4,電子零組件業,Electronic,Components,6.97,電子零組件
3489,森寶,櫃,10.2,建材營造業,Traditional,Construction,8.31,電腦周邊產品
3490,單井,櫃,14.4,光電業,Electronic,Opto,5.7,光電
3491,昇達科,櫃,42.3,通信網路業,Electronic,Communications,6.09,通信網路
3492,長盛,櫃,5.13,電子零組件業,Electronic,Components,3.55,連接器
3498,陽程,櫃,26,其他電子業,Electronic,Others,6.42,其他電子
3499,環天科,櫃,5.63,通信網路業,Electronic,Communications,5.5,通信網路
3508,位速,櫃,18.6,其他電子業,Electronic,Others,10.2,行動電話
3511,矽瑪,櫃,18,電子零組件業,Electronic,Components,8,連接器
3512,皇龍,櫃,21.7,電子零組件業,Electronic,Components,8.4,電子零組件
3516,亞帝歐,櫃,7.44,光電業,Electronic,Opto,5.06,LED發光二極體
3520,華盈,櫃,8.55,電子零組件業,Electronic,Components,4.88,軟體業
3521,鴻翊,櫃,4.65,電腦及週邊設備業,Electronic,Computers,4.67,電腦及週邊設備
3522,御頂,櫃,8.24,觀光事業,Others,Tourism,7.26,觀光
3523,迎輝,櫃,13,光電業,Electronic,Opto,9.4,光電
3526,凡甲,櫃,58.7,電子零組件業,Electronic,Components,7.23,連接器
3527,聚積,櫃,39.6,半導體業,Electronic,Semi,4.44,IC設計
3529,力旺,櫃,382,半導體業,Electronic,Semi,7.6,IC設計
3531,先益,櫃,12.4,光電業,Electronic,Opto,6.12,LED發光二極體
3537,堡達,櫃,16,電子零組件業,Electronic,Components,5.36,被動元件
3540,曜越,櫃,44.4,電腦及週邊設備業,Electronic,Computers,6.66,"電源供應器,電腦周邊產品,機殼業"
3541,西柏,櫃,31,其他電子業,Electronic,Others,5.18,消費性電子產品
3546,宇峻,櫃,31.7,文化創意業,Others,Gaming,4.59,"軟體業,遊戲軟體業"
3548,兆利,櫃,39.4,電子零組件業,Electronic,Components,6.01,模具沖壓
3551,世禾,櫃,25.8,其他電子業,Electronic,Others,5.68,其他電子
3552,同致,櫃,74.2,其他電子業,Electronic,Others,8.56,其他電子
3555,重鵬,櫃,11.5,半導體業,Electronic,Semi,3.56,IC設計
3556,禾瑞亞,櫃,30.8,半導體業,Electronic,Semi,5.95,IC設計
3558,神準,櫃,43.2,通信網路業,Electronic,Communications,4.91,軟體業
3564,其陽,櫃,13.6,通信網路業,Electronic,Communications,5.91,"主機板,軟體業"
3567,逸昌,櫃,8.38,半導體業,Electronic,Semi,3.41,IC封測
3570,大塚,櫃,13.2,資訊服務業,Electronic,Service,1.71,"軟體業,資訊服務"
3577,泓格,櫃,16.3,電腦及週邊設備業,Electronic,Computers,5.29,電腦及週邊設備
3580,友威科,櫃,11.2,其他電子業,Electronic,Others,3.95,其他電子
3581,博磊,櫃,10,半導體業,Electronic,Semi,5.1,半導體
3587,閎康,櫃,51.7,其他電子業,Electronic,Others,6.23,其他電子
3594,磐儀,櫃,15.6,電腦及週邊設備業,Electronic,Computers,6.79,電腦及週邊設備
3597,映興,櫃,6.75,電子零組件業,Electronic,Components,3.51,電子零組件
3609,東林,櫃,9.45,電子零組件業,Electronic,Components,3.07,電源供應器
3611,鼎翰,櫃,74.3,電腦及週邊設備業,Electronic,Computers,4.25,"消費性電子產品,印表機,電腦周邊產品"
3615,安可,櫃,12,光電業,Electronic,Opto,6.85,光電
3623,富晶通,櫃,4.32,光電業,Electronic,Opto,2.92,光電
3624,光頡,櫃,27.8,電子零組件業,Electronic,Components,11.7,被動元件
3625,西勝,櫃,11.9,電腦及週邊設備業,Electronic,Computers,8.21,行動電話
3628,盈正,櫃,16.3,其他電子業,Electronic,Others,4.5,其他電子
3629,地心引力,櫃,25.8,文化創意業,Others,Culture,3.22,文化創意
3630,新鉅科,櫃,74.3,光電業,Electronic,Opto,18.5,"行動電話,電腦周邊產品,數位相機"
3631,晟楠,櫃,31.6,電子零組件業,Electronic,Components,7.99,電子零組件
3632,研勤,櫃,3.48,通信網路業,Electronic,Communications,5.81,通信網路
3642,駿熠電,櫃,5.36,其他電子業,Electronic,Others,3.44,其他電子
3646,艾恩特,櫃,8.1,電子零組件業,Electronic,Components,3.93,"連接器,模具沖壓"
3652,精聯,櫃,9.3,電腦及週邊設備業,Electronic,Computers,4.71,"印表機,電腦周邊產品"
3663,鑫科,櫃,13.4,其他電子業,Electronic,Others,7.35,其他電子
3664,安瑞-KY,櫃,6.41,通信網路業,Electronic,Communications,5.11,"軟體業,資訊服務"
3666,光耀,櫃,13.5,光電業,Electronic,Opto,4.83,光電
3672,康聯訊,櫃,5.83,通信網路業,Electronic,Communications,3.27,通信網路
3675,德微,櫃,27.6,半導體業,Electronic,Semi,4.44,半導體
3680,家登,櫃,193,半導體業,Electronic,Semi,7.57,半導體
3684,榮昌,櫃,8.55,通信網路業,Electronic,Communications,2.46,通信網路
3685,元創精密,櫃,14.3,光電業,Electronic,Opto,8,光電
3687,歐買尬,櫃,12.3,電子商務,Electronic,E-Commerce,3.01,"軟體業,遊戲軟體業"
3689,湧德,櫃,20.2,電子零組件業,Electronic,Components,6.97,連接器
3691,碩禾,櫃,84.4,光電業,Electronic,Opto,6.37,光電
3693,營邦,櫃,19.7,電腦及週邊設備業,Electronic,Computers,3.85,"伺服器,電腦周邊產品,機殼業"
3707,漢磊,櫃,82,半導體業,Electronic,Semi,30.4,"晶圓代工,IC生產"
3709,鑫聯大投控,櫃,16.4,電腦及週邊設備業,Electronic,Computers,7.96,資訊通路
3710,連展投控,櫃,16.8,電子零組件業,Electronic,Components,20.7,連接器
3713,新晶投控,櫃,32.7,光電業,Electronic,Opto,7.81,光電
4102,永日,櫃,11.2,生技醫療業,Biotech,Biotech,4.24,生技醫療
4105,東洋,櫃,164,生技醫療業,Biotech,Biotech,24.9,生技醫療
4107,邦特,櫃,92.5,生技醫療業,Biotech,Biotech,6.93,生技醫療
4109,加捷生醫,櫃,9.89,生技醫療業,Biotech,Biotech,6.89,生技醫療
4111,濟生,櫃,13.4,生技醫療業,Biotech,Biotech,5.7,生技醫療
4113,聯上,櫃,30,建材營造業,Traditional,Construction,21.1,建材營造
4114,健喬,櫃,68.3,生技醫療業,Biotech,Biotech,28.3,生技醫療
4116,明基醫,櫃,13.6,生技醫療業,Biotech,Biotech,4.46,生技醫療
4120,友華,櫃,43,生技醫療業,Biotech,Biotech,8.67,生技醫療
4121,優盛,櫃,12.3,生技醫療業,Biotech,Biotech,7.33,生技醫療
4123,晟德,櫃,300,生技醫療業,Biotech,Biotech,45.9,生技醫療
4126,太醫,櫃,50.2,生技醫療業,Biotech,Biotech,7.26,生技醫療
4127,天良,櫃,5.06,生技醫療業,Biotech,Biotech,4.58,生技醫療
4128,中天,櫃,382,生技醫療業,Biotech,Biotech,42.5,生技醫療
4129,聯合,櫃,26.2,生技醫療業,Biotech,Biotech,7.84,生技醫療
4130,健亞,櫃,34,生技醫療業,Biotech,Biotech,10.8,生技醫療
4131,晶宇,櫃,4.25,生技醫療業,Biotech,Biotech,4.83,生技醫療
4138,曜亞,櫃,14,生技醫療業,Biotech,Biotech,3,生技醫療
4139,馬光-KY,櫃,22.6,生技醫療業,Biotech,Biotech,4.25,生技醫療
4147,中裕,櫃,230,生技醫療業,Biotech,Biotech,25.2,生技醫療
4152,台微體,櫃,53.5,生技醫療業,Biotech,Biotech,8.42,生技醫療
4153,鈺緯,櫃,15.8,生技醫療業,Biotech,Biotech,7.4,生技醫療
4154,康樂-KY,櫃,7.66,生技醫療業,Biotech,Biotech,2.43,生技醫療
4157,太景*-KY,櫃,152,生技醫療業,Biotech,Biotech,71.7,生技醫療
4160,創源,櫃,5.88,生技醫療業,Biotech,Biotech,2.42,生技醫療
4161,聿新科,櫃,13.4,生技醫療業,Biotech,Biotech,5.27,生技醫療
4162,智擎,櫃,89.7,生技醫療業,Biotech,Biotech,14.7,生技醫療
4163,鐿鈦,櫃,46.3,生技醫療業,Biotech,Biotech,4.83,生技醫療
4167,松瑞藥,櫃,95.1,生技醫療業,Biotech,Biotech,29.4,生技醫療
4168,醣聯,櫃,24.1,生技醫療業,Biotech,Biotech,9.59,生技醫療
4171,瑞基,櫃,76.3,農業科技業,Traditional,Agri-Tech,4.06,農業科技業
4173,久裕,櫃,15.5,生技醫療業,Biotech,Biotech,7.46,生技醫療
